y_intercept,gradient,average_meeting_time
-5.0,-1.0,0.0
-5.0,-0.9797979797979798,0.0
-5.0,-0.9595959595959596,0.0
-5.0,-0.9393939393939394,0.0
-5.0,-0.9191919191919192,0.0
-5.0,-0.898989898989899,0.0
-5.0,-0.8787878787878788,0.0
-5.0,-0.8585858585858586,0.0
-5.0,-0.8383838383838383,0.0
-5.0,-0.8181818181818181,0.0
-5.0,-0.797979797979798,0.0
-5.0,-0.7777777777777778,0.0
-5.0,-0.7575757575757576,0.0
-5.0,-0.7373737373737373,0.0
-5.0,-0.7171717171717171,0.0
-5.0,-0.696969696969697,0.0
-5.0,-0.6767676767676767,0.0
-5.0,-0.6565656565656566,0.0
-5.0,-0.6363636363636364,0.0
-5.0,-0.6161616161616161,0.0
-5.0,-0.5959595959595959,0.0
-5.0,-0.5757575757575757,0.0
-5.0,-0.5555555555555556,0.0
-5.0,-0.5353535353535352,0.0
-5.0,-0.5151515151515151,0.0
-5.0,-0.4949494949494949,0.0
-5.0,-0.4747474747474747,0.0
-5.0,-0.4545454545454545,0.0
-5.0,-0.43434343434343425,0.0
-5.0,-0.41414141414141414,0.0
-5.0,-0.3939393939393939,0.0
-5.0,-0.3737373737373737,0.0
-5.0,-0.3535353535353535,0.0
-5.0,-0.33333333333333326,0.0
-5.0,-0.31313131313131304,0.0
-5.0,-0.2929292929292928,0.0
-5.0,-0.2727272727272727,0.0
-5.0,-0.2525252525252525,0.0
-5.0,-0.23232323232323226,0.0
-5.0,-0.21212121212121204,0.0
-5.0,-0.19191919191919182,0.0
-5.0,-0.1717171717171716,0.0
-5.0,-0.1515151515151515,0.0
-5.0,-0.13131313131313127,0.0
-5.0,-0.11111111111111105,0.0
-5.0,-0.09090909090909083,0.0
-5.0,-0.07070707070707061,0.0
-5.0,-0.050505050505050386,0.0
-5.0,-0.030303030303030276,0.0
-5.0,-0.010101010101010055,0.0
-5.0,0.010101010101010166,0.0
-5.0,0.030303030303030498,0.0
-5.0,0.05050505050505061,0.0
-5.0,0.07070707070707072,0.0
-5.0,0.09090909090909105,0.0
-5.0,0.11111111111111116,0.0
-5.0,0.1313131313131315,0.0
-5.0,0.1515151515151516,0.0
-5.0,0.1717171717171717,0.0
-5.0,0.19191919191919204,0.0
-5.0,0.21212121212121215,0.0
-5.0,0.2323232323232325,0.0
-5.0,0.2525252525252526,0.0
-5.0,0.27272727272727293,0.0
-5.0,0.29292929292929304,0.0
-5.0,0.31313131313131315,0.0
-5.0,0.3333333333333335,0.0
-5.0,0.3535353535353536,0.0
-5.0,0.3737373737373739,0.0
-5.0,0.39393939393939403,0.0
-5.0,0.41414141414141437,0.0
-5.0,0.4343434343434345,0.0
-5.0,0.4545454545454546,0.0
-5.0,0.4747474747474749,0.0
-5.0,0.49494949494949503,0.0
-5.0,0.5151515151515154,0.0
-5.0,0.5353535353535355,0.0
-5.0,0.5555555555555556,0.0
-5.0,0.5757575757575759,0.0
-5.0,0.595959595959596,0.0
-5.0,0.6161616161616164,0.0
-5.0,0.6363636363636365,0.0
-5.0,0.6565656565656568,0.0
-5.0,0.6767676767676769,0.0
-5.0,0.696969696969697,0.0
-5.0,0.7171717171717173,0.0
-5.0,0.7373737373737375,0.0
-5.0,0.7575757575757578,0.0
-5.0,0.7777777777777779,0.0
-5.0,0.7979797979797982,0.0
-5.0,0.8181818181818183,0.0
-5.0,0.8383838383838385,0.0
-5.0,0.8585858585858588,0.0
-5.0,0.8787878787878789,0.0
-5.0,0.8989898989898992,0.0
-5.0,0.9191919191919193,0.0
-5.0,0.9393939393939394,0.0
-5.0,0.9595959595959598,0.0
-5.0,0.9797979797979799,0.0
-5.0,1.0,0.0
-4.898989898989899,-1.0,0.0
-4.898989898989899,-0.9797979797979798,0.0
-4.898989898989899,-0.9595959595959596,0.0
-4.898989898989899,-0.9393939393939394,0.0
-4.898989898989899,-0.9191919191919192,0.0
-4.898989898989899,-0.898989898989899,0.0
-4.898989898989899,-0.8787878787878788,0.0
-4.898989898989899,-0.8585858585858586,0.0
-4.898989898989899,-0.8383838383838383,0.0
-4.898989898989899,-0.8181818181818181,0.0
-4.898989898989899,-0.797979797979798,0.0
-4.898989898989899,-0.7777777777777778,0.0
-4.898989898989899,-0.7575757575757576,0.0
-4.898989898989899,-0.7373737373737373,0.0
-4.898989898989899,-0.7171717171717171,0.0
-4.898989898989899,-0.696969696969697,0.0
-4.898989898989899,-0.6767676767676767,0.0
-4.898989898989899,-0.6565656565656566,0.0
-4.898989898989899,-0.6363636363636364,0.0
-4.898989898989899,-0.6161616161616161,0.0
-4.898989898989899,-0.5959595959595959,0.0
-4.898989898989899,-0.5757575757575757,0.0
-4.898989898989899,-0.5555555555555556,0.0
-4.898989898989899,-0.5353535353535352,0.0
-4.898989898989899,-0.5151515151515151,0.0
-4.898989898989899,-0.4949494949494949,0.0
-4.898989898989899,-0.4747474747474747,0.0
-4.898989898989899,-0.4545454545454545,0.0
-4.898989898989899,-0.43434343434343425,0.0
-4.898989898989899,-0.41414141414141414,0.0
-4.898989898989899,-0.3939393939393939,0.0
-4.898989898989899,-0.3737373737373737,0.0
-4.898989898989899,-0.3535353535353535,0.0
-4.898989898989899,-0.33333333333333326,0.0
-4.898989898989899,-0.31313131313131304,0.0
-4.898989898989899,-0.2929292929292928,0.0
-4.898989898989899,-0.2727272727272727,0.0
-4.898989898989899,-0.2525252525252525,0.0
-4.898989898989899,-0.23232323232323226,0.0
-4.898989898989899,-0.21212121212121204,0.0
-4.898989898989899,-0.19191919191919182,0.0
-4.898989898989899,-0.1717171717171716,0.0
-4.898989898989899,-0.1515151515151515,0.0
-4.898989898989899,-0.13131313131313127,0.0
-4.898989898989899,-0.11111111111111105,0.0
-4.898989898989899,-0.09090909090909083,0.0
-4.898989898989899,-0.07070707070707061,0.0
-4.898989898989899,-0.050505050505050386,0.0
-4.898989898989899,-0.030303030303030276,0.0
-4.898989898989899,-0.010101010101010055,0.0
-4.898989898989899,0.010101010101010166,0.0
-4.898989898989899,0.030303030303030498,0.0
-4.898989898989899,0.05050505050505061,0.0
-4.898989898989899,0.07070707070707072,0.0
-4.898989898989899,0.09090909090909105,0.0
-4.898989898989899,0.11111111111111116,0.0
-4.898989898989899,0.1313131313131315,0.0
-4.898989898989899,0.1515151515151516,0.0
-4.898989898989899,0.1717171717171717,0.0
